importance
0.7845948
0.13808478
0.043686286
0.014872932
0.0036406093
0.0027188407
0.0020859733
0.0019917293
0.0019253083
0.0015051786
0.0013490411
0.0010469366
0.0010220199
0.0010216351
0.0004540098
0.0
